emp_no,last_name,gender,salary,to_date
11042,Breugel,F,40000,9999-01-01
11134,Rajcani,F,58731,9999-01-01
11048,Demke,M,65697,9999-01-01
11050,Katiyar,M,52251,9999-01-01
11051,Erol,F,40000,9999-01-01
11070,Raney,M,40000,9999-01-01
11137,Luca,M,40000,9999-01-01
11081,Boyle,M,65686,9999-01-01
11139,Homond,F,63596,9999-01-01
11085,Thummel,M,66437,9999-01-01
11100,Cochrane,M,40000,9999-01-01
11146,Masand,F,96019,9999-01-01
11148,Botman,F,56344,9999-01-01
11106,Iwayama,F,71446,9999-01-01
11319,Marrakchi,F,40000,9999-01-01
11162,Narlikar,F,69873,9999-01-01
11180,Bojadziev,F,40000,9999-01-01
11320,McAlpine,M,45118,9999-01-01
11322,Pocchiola,F,43021,9999-01-01
11324,Billingsley,F,54288,9999-01-01
11338,Hanratty,M,82210,9999-01-01
11197,Fordan,M,88741,9999-01-01
11339,Massonet,M,40000,9999-01-01
11347,Jonsson,M,41524,9999-01-01
11204,Covnot,M,40000,9999-01-01
11207,Gips,F,49728,9999-01-01
11208,Valtorta,F,83660,9999-01-01
11365,Shinomoto,M,56463,9999-01-01
11211,Rissland,M,72668,9999-01-01
11376,Suomi,M,46964,9999-01-01
11217,Mawatari,M,40000,9999-01-01
11380,Pelc,M,53345,9999-01-01
11385,Ullian,M,40000,9999-01-01
11386,Assaf,F,47726,9999-01-01
11393,Junot,M,40000,9999-01-01
11232,Crelier,M,43863,9999-01-01
11398,Peir,M,44625,9999-01-01
11404,Borovoy,M,42907,9999-01-01
11240,Condotta,M,61739,9999-01-01
11415,Anido,M,40000,9999-01-01
11421,Msuda,F,52416,9999-01-01
11441,Aingworth,M,67352,9999-01-01
11249,Cyre,M,43324,9999-01-01
11251,Chinal,M,69432,9999-01-01
11449,Asser,M,61434,9999-01-01
11459,Suomi,M,40000,9999-01-01
11268,Petersohn,F,40000,9999-01-01
11469,Giaccio,M,44625,9999-01-01
11506,Picel,F,89747,9999-01-01
11275,Eppinger,F,58382,9999-01-01
11290,Dredge,M,65034,9999-01-01
11295,Lanzelotte,M,66622,9999-01-01
11673,Felder,F,40000,9999-01-01
11676,Ferriere,F,43310,9999-01-01
11681,Benzmuller,F,40000,9999-01-01
11684,Gide,F,68753,9999-01-01
11696,Rothe,M,51633,9999-01-01
11732,Ranft,F,40000,9999-01-01
11735,Picci,M,40000,9999-01-01
11746,Marrakchi,F,55951,9999-01-01
11751,Emiris,M,40000,9999-01-01
11764,Anick,F,64875,9999-01-01
11769,Lampe,M,40000,9999-01-01
11772,Penz,F,61295,9999-01-01
11797,Thambidurai,M,88050,9999-01-01
11810,Bhattacharjee,M,41256,9999-01-01
11817,Markovitch,M,50638,9999-01-01
11832,Zlotek,M,40000,9999-01-01
11509,Feldhoffer,M,40000,9999-01-01
11844,Demeyer,M,78049,9999-01-01
11513,Mahnke,M,82525,9999-01-01
11515,Basawa,F,70182,9999-01-01
11518,Oxman,M,40000,9999-01-01
11524,Standera,M,41081,9999-01-01
11853,Kusakabe,F,61941,9999-01-01
11527,Boyle,M,60212,9999-01-01
11857,Farrag,F,94805,9999-01-01
11528,Dolinsky,M,44026,9999-01-01
11537,Pehl,M,96023,9999-01-01
11554,Taubenfeld,M,46065,9999-01-01
11864,Kriebel,F,52517,9999-01-01
11871,Sommen,M,67424,9999-01-01
11872,Riexinger,M,43159,9999-01-01
11555,Perfilyeva,M,40000,9999-01-01
11567,Mitzlaff,M,86261,9999-01-01
11568,Fujisaki,M,54673,9999-01-01
11894,Validov,M,56198,9999-01-01
11603,Swen,F,69180,9999-01-01
11897,Setlzner,M,80049,9999-01-01
11607,Foong,F,49584,9999-01-01
11906,Boguraev,F,81324,9999-01-01
11615,Isaak,F,46591,9999-01-01
11624,Gammage,M,42001,9999-01-01
11915,Mawatari,M,58042,9999-01-01
11628,Malinowski,M,43966,9999-01-01
11640,Coorg,M,52520,9999-01-01
11647,Nitsche,M,40000,9999-01-01
11660,Stenning,F,65758,9999-01-01
11931,Chiodo,F,73369,9999-01-01
11933,Erman,M,56130,9999-01-01
12036,Ratzlaff,M,67143,9999-01-01
11949,Harbusch,M,40000,9999-01-01
12037,Katzenelson,M,47805,9999-01-01
12050,Tchuente,F,46704,9999-01-01
12062,Worfolk,M,44199,9999-01-01
12069,Burnard,M,51928,9999-01-01
12070,Shokrollahi,M,50233,9999-01-01
11983,Hedayat,M,40000,9999-01-01
12076,Siprelle,F,75381,9999-01-01
12082,Yamaashi,M,72118,9999-01-01
12089,Socorro,M,46288,9999-01-01
12099,Kuzuoka,M,104610,9999-01-01
12112,Avouris,M,76538,9999-01-01
11993,Dalphin,M,56505,9999-01-01
12122,Krone,F,46398,9999-01-01
12011,Coorg,F,85833,9999-01-01
12123,Syrzycki,F,64879,9999-01-01
12125,Erman,F,41215,9999-01-01
12149,Grandbois,M,109934,9999-01-01
12159,Perly,M,61210,9999-01-01
12165,Maquelin,F,41951,9999-01-01
12183,Iisaku,M,40000,9999-01-01
12192,Klyachko,F,41625,9999-01-01
12205,Rossi,M,40000,9999-01-01
12221,Melter,M,56736,9999-01-01
12222,Holburn,F,55840,9999-01-01
12223,Koyama,F,54459,9999-01-01
12206,Janetzko,F,40000,9999-01-01
12218,Strooper,M,40000,9999-01-01
12411,Ibel,M,97610,9999-01-01
12247,Penttonen,F,59183,9999-01-01
12249,Sadowski,M,70099,9999-01-01
12413,Gadepally,F,53179,9999-01-01
12256,Reghbati,F,40000,9999-01-01
12417,Spelt,F,67342,9999-01-01
12264,Pagter,M,51816,9999-01-01
12422,Demos,F,71376,9999-01-01
12454,Farris,F,41347,9999-01-01
12270,Kornyak,M,52840,9999-01-01
12272,Grandbois,F,43811,9999-01-01
12464,Milicic,F,50448,9999-01-01
12475,Roison,M,40000,9999-01-01
12487,Reghbati,F,40000,9999-01-01
12308,Cronau,M,58741,9999-01-01
12311,Lubachevsky,M,40000,9999-01-01
12489,Munck,F,63306,9999-01-01
12490,Muchinsky,F,40000,9999-01-01
12497,Penz,M,81191,9999-01-01
12327,Bruckman,M,67449,9999-01-01
12501,Matheson,F,76082,9999-01-01
12341,Luga,M,40000,9999-01-01
12504,Rosaz,F,40000,9999-01-01
12343,Slaats,M,52134,9999-01-01
12514,Melter,M,54241,9999-01-01
12365,Bisiani,M,40000,9999-01-01
12528,Cincotta,F,40000,9999-01-01
12373,Driscoll,F,75986,9999-01-01
12534,Gerlach,M,66715,9999-01-01
12541,Nanard,M,93105,9999-01-01
12395,Felder,M,66909,9999-01-01
12542,Bouloucos,F,44176,9999-01-01
12399,Luga,M,85582,9999-01-01
12551,Tzvieli,M,40000,9999-01-01
12553,Vesna,M,40000,9999-01-01
12557,Kopetz,M,41840,9999-01-01
12589,Chleq,M,59441,9999-01-01
12596,Roisin,M,40000,9999-01-01
12790,Perl,F,87760,9999-01-01
12601,Simkin,M,41714,9999-01-01
12608,Mondadori,M,40000,9999-01-01
12795,Fordan,M,56969,9999-01-01
12798,Beeson,F,81145,9999-01-01
12635,Restivo,F,40000,9999-01-01
12638,Seiwald,F,56677,9999-01-01
12803,Boissier,M,91789,9999-01-01
12815,Junot,M,65073,9999-01-01
12642,Gips,F,68271,9999-01-01
12819,Gubsky,M,48455,9999-01-01
12848,Smeets,M,40000,9999-01-01
12651,Bael,M,75150,9999-01-01
12662,Alvarado,M,69016,9999-01-01
12663,Stellhorn,M,49966,9999-01-01
12664,Parveen,M,40000,9999-01-01
12863,Matheson,M,62803,9999-01-01
12872,Schmittgen,F,56040,9999-01-01
12879,Eugenio,M,40000,9999-01-01
12689,Boudaillier,M,59689,9999-01-01
12691,Gils,M,48493,9999-01-01
12890,Casley,F,66803,9999-01-01
12697,Brizzi,M,40000,9999-01-01
12893,Crouzet,M,50803,9999-01-01
12895,Serot,M,40000,9999-01-01
12905,Gecsei,M,58659,9999-01-01
12709,Botman,M,45510,9999-01-01
12926,Luby,M,68314,9999-01-01
12717,Jiafu,F,53194,9999-01-01
12722,Cheshire,F,62325,9999-01-01
12940,Farrar,F,49760,9999-01-01
12726,Panwar,M,61177,9999-01-01
12729,Rahier,F,51796,9999-01-01
12731,Waymire,F,40000,9999-01-01
12732,Takanami,M,74436,9999-01-01
12941,Perelgut,F,67069,9999-01-01
12734,Frijda,M,40000,9999-01-01
12755,Rodite,F,40196,9999-01-01
12773,Lovengreen,M,65556,9999-01-01
12949,Asrin,F,40000,9999-01-01
13146,Erie,M,61398,9999-01-01
12977,Markovitch,M,61326,9999-01-01
12983,Hambrick,F,57252,9999-01-01
13147,Ginesta,M,77429,9999-01-01
13156,Millington,M,48285,9999-01-01
13165,Benner,F,42796,9999-01-01
13030,Kroll,M,51770,9999-01-01
13168,Stentiford,F,49210,9999-01-01
13170,Bernardeschi,M,49012,9999-01-01
13171,Birnbaum,M,40000,9999-01-01
13173,Horswill,M,46354,9999-01-01
13046,Stafford,M,40000,9999-01-01
13047,Chelton,M,52323,9999-01-01
13179,Janocha,M,90233,9999-01-01
13182,Rodite,M,46832,9999-01-01
13186,Barbanera,M,93138,9999-01-01
13192,Flowers,M,43986,9999-01-01
13202,Scharstein,F,51915,9999-01-01
13075,Morrin,M,40000,9999-01-01
13076,Skafidas,F,50582,9999-01-01
13210,Klassen,M,83961,9999-01-01
13213,Billawala,M,61131,9999-01-01
13232,Fujisaki,F,40000,9999-01-01
13096,Armand,M,52544,9999-01-01
13103,Ellozy,F,40000,9999-01-01
13233,Chvatal,M,49414,9999-01-01
13238,Foote,F,40000,9999-01-01
13240,Pileggi,M,49018,9999-01-01
13250,Schusler,M,47829,9999-01-01
13124,Garnick,F,73785,9999-01-01
13133,Senzako,M,67777,9999-01-01
13134,Chepyzhov,M,51227,9999-01-01
13272,Jiang,F,40000,9999-01-01
13144,Nollmann,M,52825,9999-01-01
13276,Seuren,M,65836,9999-01-01
13288,Broomell,F,40000,9999-01-01
13291,Stamatiou,M,54720,9999-01-01
13332,Pearson,F,40000,9999-01-01
13302,Alencar,F,40000,9999-01-01
13333,Hennebert,M,50997,9999-01-01
13341,Doering,F,40000,9999-01-01
13343,Usery,M,40000,9999-01-01
13315,Stroustrup,F,40000,9999-01-01
13524,Porotnikoff,F,52849,9999-01-01
13368,Klassen,M,52872,9999-01-01
13535,Schlenzig,F,40000,9999-01-01
13371,Riexinger,F,40000,9999-01-01
13373,Naumovich,M,82749,9999-01-01
13546,Brookner,F,50295,9999-01-01
13385,Buchter,M,40000,9999-01-01
13386,Sgarro,F,91420,9999-01-01
13549,Koprowski,M,40000,9999-01-01
13389,Cmelik,F,40000,9999-01-01
13552,Capobianchi,M,73346,9999-01-01
13392,Beidas,F,69221,9999-01-01
13576,Engberts,F,73022,9999-01-01
13396,Aumann,F,40000,9999-01-01
13402,Dulli,M,40000,9999-01-01
13405,Baba,F,60799,9999-01-01
13407,Chenoweth,M,60348,9999-01-01
13408,Lagarias,M,52479,9999-01-01
13605,Encarnacion,F,70404,9999-01-01
13415,Speer,F,61838,9999-01-01
13422,Gerlach,F,59466,9999-01-01
13442,Miake,M,40000,9999-01-01
13443,Puppo,M,40000,9999-01-01
13445,Dehkordi,M,53194,9999-01-01
13451,Weiland,M,40000,9999-01-01
13621,Haddadi,M,73192,9999-01-01
13457,Parfitt,M,40812,9999-01-01
13458,Nivat,F,41375,9999-01-01
13463,Berstel,F,40000,9999-01-01
13465,Rehfuss,M,49821,9999-01-01
13624,Yurek,M,40000,9999-01-01
13629,Trelles,M,40000,9999-01-01
13648,Lamba,F,47723,9999-01-01
13493,Jullig,F,40000,9999-01-01
13504,Mandell,F,41895,9999-01-01
13653,Iivonen,M,53242,9999-01-01
13670,Takanami,F,40000,9999-01-01
13680,Speer,M,46968,9999-01-01
13685,Hockney,F,48322,9999-01-01
13697,Weedon,M,40000,9999-01-01
13704,Kumaresan,F,40000,9999-01-01
13894,Schonegge,F,48958,9999-01-01
13721,Delgrossi,F,64754,9999-01-01
13727,Merey,M,50798,9999-01-01
13904,Cairo,M,73885,9999-01-01
13738,Mitchem,F,48349,9999-01-01
13934,Bratsberg,F,46507,9999-01-01
13942,Esteva,M,40000,9999-01-01
13766,Heemskerk,M,43748,9999-01-01
13951,Genther,F,82054,9999-01-01
13769,Trogemann,F,61025,9999-01-01
13775,Maierhofer,M,70161,9999-01-01
13786,Berendt,F,74494,9999-01-01
13787,Sinicrope,F,40000,9999-01-01
13960,Hettesheimer,M,43204,9999-01-01
13792,Sury,M,59127,9999-01-01
13796,Thorelli,M,50962,9999-01-01
13962,Ghelli,M,67965,9999-01-01
13966,Cooman,F,40000,9999-01-01
13969,Chandrasekhar,F,60392,9999-01-01
13809,Basagni,M,43735,9999-01-01
13990,Schapiro,F,52723,9999-01-01
13815,Plotkin,M,40000,9999-01-01
13825,Pell,M,54704,9999-01-01
13841,Spinelli,M,52277,9999-01-01
13992,Kenevan,M,81318,9999-01-01
13999,Crouzet,M,40000,9999-01-01
13842,Cichocki,F,40000,9999-01-01
13846,Welham,M,61097,9999-01-01
13853,Roohalamini,M,61615,9999-01-01
13859,Fujisawa,M,40000,9999-01-01
14005,Stellhorn,M,40000,9999-01-01
14015,Picaronny,M,63084,9999-01-01
14034,Seghrouchni,M,69700,9999-01-01
13884,Swift,M,44785,9999-01-01
14041,DeMori,F,63235,9999-01-01
14067,Trachtenberg,M,44669,9999-01-01
14257,Massonet,F,40000,9999-01-01
14088,Leslie,M,44821,9999-01-01
14290,Olivero,M,78736,9999-01-01
14107,Rindone,M,82396,9999-01-01
14111,Cummings,F,52696,9999-01-01
14118,Anido,M,46248,9999-01-01
14292,Vigier,F,41846,9999-01-01
14298,Granlund,F,40000,9999-01-01
14310,Leuchs,M,40000,9999-01-01
14320,Schaar,M,40000,9999-01-01
14322,Kakkad,M,50363,9999-01-01
14167,Hertweck,F,40000,9999-01-01
14323,Leslie,F,40000,9999-01-01
14340,Wixon,M,42858,9999-01-01
14344,Buescher,F,41979,9999-01-01
14191,Luby,F,40155,9999-01-01
14354,Bojadziev,M,40000,9999-01-01
14360,Erbe,M,43476,9999-01-01
14209,Kusakabe,F,40000,9999-01-01
14372,Srimani,F,57667,9999-01-01
14220,Pargas,F,68017,9999-01-01
14384,Holburn,F,58260,9999-01-01
14232,Bojadziev,M,50568,9999-01-01
14236,Angiulli,F,40000,9999-01-01
14237,Gerlach,F,57219,9999-01-01
14242,Benaini,F,40000,9999-01-01
14422,Gadepally,M,59001,9999-01-01
14434,Maginnis,M,40000,9999-01-01
14439,Woycyznski,M,80654,9999-01-01
14460,Lueh,F,56267,9999-01-01
14478,Boissier,F,40000,9999-01-01
14481,Lammel,M,40000,9999-01-01
14483,Marrevee,M,40000,9999-01-01
14486,Birdsall,M,40000,9999-01-01
14498,Selenyi,M,40000,9999-01-01
14501,Kroft,M,63646,9999-01-01
14509,Aloia,M,40000,9999-01-01
14513,Barreiro,M,83273,9999-01-01
14515,Versino,F,61645,9999-01-01
14516,Underwood,F,73262,9999-01-01
14518,Peir,M,64238,9999-01-01
14522,Ranta,F,40000,9999-01-01
14537,Engelmann,F,48332,9999-01-01
14552,Snyers,M,40000,9999-01-01
14556,Zultner,M,40000,9999-01-01
14560,Driscoll,M,62770,9999-01-01
14581,Condotta,F,59499,9999-01-01
14582,Morrin,M,40000,9999-01-01
14600,Cairo,F,41352,9999-01-01
14603,Marquardt,M,55369,9999-01-01
14607,Selvestrel,M,67813,9999-01-01
14620,Erev,F,53303,9999-01-01
14621,Wixon,F,66404,9999-01-01
14632,McClurg,M,40000,9999-01-01
14639,Hempstead,F,79405,9999-01-01
14640,Kornatzky,M,42662,9999-01-01
14642,Kuhnemann,F,54553,9999-01-01
14645,Glinert,F,45647,9999-01-01
14648,Lorys,M,89209,9999-01-01
14659,Adachi,F,40926,9999-01-01
14675,Angel,F,40000,9999-01-01
14677,Sifakis,M,40000,9999-01-01
14683,Basart,M,41107,9999-01-01
14690,Bellone,F,40000,9999-01-01
14693,Stranks,F,59960,9999-01-01
14710,Hainaut,F,40341,9999-01-01
14723,Assaf,M,40000,9999-01-01
14724,Lemarechal,M,66530,9999-01-01
14780,Bruckman,F,51232,9999-01-01
14814,Nishimukai,M,40000,9999-01-01
14785,Kaiser,M,46936,9999-01-01
14793,Uchoa,M,47045,9999-01-01
14817,Masaki,M,41203,9999-01-01
14821,Kilgore,M,42545,9999-01-01
14839,Cronin,M,40000,9999-01-01
14853,Nergos,F,58311,9999-01-01
15005,Sadowsky,M,50368,9999-01-01
15016,Gulik,F,40000,9999-01-01
15018,Prenel,F,40668,9999-01-01
14877,Meriste,M,40000,9999-01-01
15019,Shokrollahi,F,41721,9999-01-01
15029,Koshino,M,40000,9999-01-01
15030,Nourani,M,40000,9999-01-01
15036,Delgrande,M,40000,9999-01-01
14879,Sigstam,M,54322,9999-01-01
15049,Waymire,F,40000,9999-01-01
14888,Barriga,F,60916,9999-01-01
15052,Kranzdorf,M,40630,9999-01-01
15055,Sherertz,M,40000,9999-01-01
15066,Oaver,M,43455,9999-01-01
14899,Casley,M,64365,9999-01-01
15069,Siksek,M,40000,9999-01-01
15071,Couchot,F,97484,9999-01-01
14906,Parveen,F,54758,9999-01-01
15075,Rijsenbrij,M,40000,9999-01-01
15077,Taubenfeld,F,40000,9999-01-01
15082,Zirintsis,F,63024,9999-01-01
15087,Ushiama,F,40000,9999-01-01
15089,Coney,F,48594,9999-01-01
15092,Bahi,F,40000,9999-01-01
14908,Flanders,F,40000,9999-01-01
15102,Axelband,F,40374,9999-01-01
15105,Itzigehl,M,75800,9999-01-01
14909,Kamble,M,40000,9999-01-01
14911,Chelton,F,62738,9999-01-01
15114,Honglei,M,40000,9999-01-01
14914,Benzaken,F,40000,9999-01-01
14915,Picco,M,40733,9999-01-01
14923,Gyorkos,M,40000,9999-01-01
15134,Luiz,F,62752,9999-01-01
14928,Mukaidono,F,53377,9999-01-01
15145,Servieres,M,51443,9999-01-01
15151,Pouyioutas,F,61253,9999-01-01
14941,Lichtner,M,43608,9999-01-01
14942,Benveniste,M,40000,9999-01-01
15176,Sankaranarayanan,M,98401,9999-01-01
14949,Reinhart,F,44930,9999-01-01
14954,Magliocco,F,43510,9999-01-01
14971,Simmen,M,55187,9999-01-01
14983,Pouyioutas,M,86754,9999-01-01
14993,Koblitz,M,45407,9999-01-01
15369,Penttonen,F,81954,9999-01-01
15193,Schach,M,47039,9999-01-01
15196,Duclos,M,55824,9999-01-01
15202,Irland,M,40000,9999-01-01
15208,Shokrollahi,F,44109,9999-01-01
15370,Nilsson,F,67631,9999-01-01
15372,Broder,M,79245,9999-01-01
15218,Conry,M,44614,9999-01-01
15375,Manders,F,65920,9999-01-01
15228,Salvesen,M,40000,9999-01-01
15377,Aumann,M,50274,9999-01-01
15230,Suessmith,F,70187,9999-01-01
15234,Zhiwei,F,47654,9999-01-01
15382,Siegrist,M,66083,9999-01-01
15237,Sadowsky,M,40000,9999-01-01
15392,Markovitch,M,55638,9999-01-01
15243,Famili,F,41015,9999-01-01
15248,Baar,M,64696,9999-01-01
15253,Pardalos,M,40396,9999-01-01
15408,Penttonen,F,40000,9999-01-01
15410,Kushner,F,58123,9999-01-01
15269,Reghbati,F,60930,9999-01-01
15271,Bernardeschi,F,88026,9999-01-01
15412,Thiria,M,62190,9999-01-01
15438,Munoz,F,43326,9999-01-01
15292,Lammel,M,87586,9999-01-01
15441,Weisert,F,40000,9999-01-01
15452,Weedman,M,40000,9999-01-01
15454,Cesareni,F,57571,9999-01-01
15470,Huhdanpaa,M,40693,9999-01-01
15324,Lunn,M,40000,9999-01-01
15329,Openshaw,F,41839,9999-01-01
15330,Chinal,M,53020,9999-01-01
15474,Plumb,M,90430,9999-01-01
15337,Radivojevic,M,40000,9999-01-01
15343,Luce,F,48936,9999-01-01
15479,Soicher,M,40000,9999-01-01
15354,Nyrup,M,40782,9999-01-01
15480,Trogemann,M,47645,9999-01-01
15365,Schiettecatte,M,41309,9999-01-01
15504,Alpin,M,40000,9999-01-01
15505,Mikschl,F,56848,9999-01-01
15510,Sethi,M,48661,9999-01-01
15511,Kowalchuk,F,76880,9999-01-01
15518,Valtorta,F,55563,9999-01-01
15563,Zykh,M,56239,9999-01-01
15565,Muchinsky,M,73532,9999-01-01
15566,Azuma,M,61655,9999-01-01
15525,Cherinka,M,40000,9999-01-01
15534,Grabner,F,63090,9999-01-01
15543,Staelin,F,40000,9999-01-01
15600,Perna,M,40000,9999-01-01
15601,Anily,F,83263,9999-01-01
15548,Caine,M,48171,9999-01-01
15739,Bahr,F,54605,9999-01-01
15740,Pocchiola,M,57994,9999-01-01
15750,Bresenham,M,40000,9999-01-01
15651,Iwayama,F,50313,9999-01-01
15656,Schaaf,M,66141,9999-01-01
15765,Taubenfeld,F,40000,9999-01-01
15682,Przulj,M,40000,9999-01-01
15767,Broomell,M,40000,9999-01-01
15687,Ambroszkiewicz,M,62333,9999-01-01
15703,Hanratty,M,40000,9999-01-01
15708,Kushnir,F,85063,9999-01-01
15714,Bala,F,40000,9999-01-01
15715,Ibel,F,40000,9999-01-01
15726,Parascandalo,M,70522,9999-01-01
15934,Shinomoto,F,50454,9999-01-01
15938,Covnot,F,69499,9999-01-01
15942,Rosca,M,50486,9999-01-01
15943,Demke,M,40000,9999-01-01
15945,Larfeldt,M,57717,9999-01-01
15948,Versino,F,40000,9999-01-01
15955,Dratva,F,45283,9999-01-01
15971,Aloia,M,42963,9999-01-01
15977,Ballarin,M,44282,9999-01-01
15978,Wielonsky,F,40000,9999-01-01
15769,Oskamp,M,61575,9999-01-01
15788,Deyuan,M,53521,9999-01-01
15993,Peir,M,45611,9999-01-01
16000,Demos,F,40000,9999-01-01
15799,Gelosh,M,64458,9999-01-01
16018,Papadias,M,52560,9999-01-01
16019,Heystek,F,40000,9999-01-01
15809,Antonisse,M,50619,9999-01-01
16025,Luce,F,84433,9999-01-01
16028,Takkinen,F,53714,9999-01-01
15819,Rajcani,M,63847,9999-01-01
16033,Spelt,F,40000,9999-01-01
15821,Antonakopoulos,M,40000,9999-01-01
15846,Litecky,M,40000,9999-01-01
16052,Rodham,F,40000,9999-01-01
16066,Penn,F,74757,9999-01-01
16068,Zongker,M,53031,9999-01-01
16076,Ebeling,M,47061,9999-01-01
16077,Heemskerk,F,49020,9999-01-01
15861,Anido,F,50890,9999-01-01
16086,Denos,M,42903,9999-01-01
15866,Seiwald,M,40000,9999-01-01
16094,Rosar,M,40000,9999-01-01
16099,Ferretti,M,40000,9999-01-01
15869,Bala,M,40000,9999-01-01
15876,Vakili,F,51140,9999-01-01
15877,Kroll,M,40000,9999-01-01
15880,Dechter,M,40000,9999-01-01
15889,Azumi,M,63393,9999-01-01
16126,Crabtree,M,68863,9999-01-01
15892,Pettis,F,60367,9999-01-01
16130,Belinskaya,M,40000,9999-01-01
16134,Chaudhuri,F,40000,9999-01-01
15901,Fargier,F,40000,9999-01-01
16138,Krzyzanowski,M,67593,9999-01-01
15902,Stille,F,40000,9999-01-01
16154,Docker,M,40000,9999-01-01
15905,Petersohn,F,47421,9999-01-01
15911,Viele,M,45602,9999-01-01
16324,Bazzichi,M,40000,9999-01-01
16185,Winter,F,44003,9999-01-01
16192,Sigstam,M,40000,9999-01-01
16201,Olano,M,53081,9999-01-01
16337,Schaad,M,40000,9999-01-01
16227,Vural,F,58619,9999-01-01
16229,Lanzelotte,F,40000,9999-01-01
